Country Name,Confirmed Cases,New Cases,Deaths,New Deaths,Death Rate,Serious & Critical,Recovered
United States,"432,727",0,"14,768",0,3.41%,"6,760","26,544"
Spain,"148,220",0,"14,792",0,9.98%,"7,132","48,021"
Italy,"139,422",0,"17,669",0,12.67%,"3,693","26,491"
Germany,"113,340",0,"2,243",0,1.98%,"2,646","54,265"
France,"112,950",0,"10,869",0,9.62%,"7,148","21,254"
China,"83,783",0,"3,333",0,3.98%,189,"77,657"
Iran,"64,586",0,"3,993",0,6.18%,"3,956","29,812"
United Kingdom,"60,733",0,"7,097",0,11.69%,N/A,"1,918"
Turkey,"38,226",0,812,0,2.12%,"1,492","1,846"
Belgium,"23,403",0,"2,240",0,9.57%,"1,276","4,275"
Switzerland,"22,420",0,842,0,3.76%,N/A,"8,056"
Netherlands,"20,549",0,"2,248",0,10.94%,"1,161","3,459"
Canada,"19,170",0,427,0,2.23%,333,"4,333"
Brazil,"16,170",0,819,0,5.06%,N/A,N/A
Portugal,"13,141",0,380,0,2.89%,245,196
Austria,"12,721",0,273,0,2.15%,267,"4,512"
South Korea,"10,384",0,200,0,1.93%,N/A,"6,776"
Israel,"9,404",0,71,0,0.75%,147,801
Russia,"8,672",0,63,0,0.73%,N/A,580
Sweden,"8,419",0,687,0,8.16%,678,N/A
Norway,"6,084",0,101,0,1.66%,78,N/A
Ireland,"6,074",0,235,0,3.87%,25,N/A
Australia,"6,010",0,50,0,0.83%,79,"1,080"
India,"5,802",0,178,0,3.07%,N/A,506
Denmark,"5,570",0,203,0,3.64%,153,3
Chile,"5,546",0,48,0,0.87%,142,"1,115"
Czech Republic,"5,312",0,99,0,1.86%,103,233
Poland,"5,205",0,159,0,3.05%,N/A,207
Japan,"4,961",0,105,0,2.12%,60,514
Romania,"4,761",0,215,0,4.52%,119,528
Ecuador,"4,450",0,242,0,5.44%,N/A,140
Peru,"4,342",0,121,0,2.79%,113,989
Malaysia,"4,119",0,65,0,1.58%,76,"1,321"
Pakistan,"4,112",0,60,0,1.46%,28,467
Philippines,"3,870",0,182,0,4.70%,N/A,96
Mexico,"3,181",0,174,0,5.47%,N/A,"1,141"
Luxembourg,"3,034",0,46,0,1.52%,34,354
Indonesia,"2,956",0,240,0,8.12%,N/A,222
Saudi Arabia,"2,932",0,41,0,1.40%,N/A,631
Serbia,"2,666",0,65,0,2.44%,108,N/A
United Arab Emirates,"2,659",0,12,0,0.45%,N/A,283
Panama,"2,528",0,63,0,2.49%,101,16
Finland,"2,487",0,40,0,1.61%,82,10
Thailand,"2,369",0,30,0,1.27%,12,793
Qatar,"2,210",0,6,0,0.27%,N/A,178
Dominican Republic,"2,111",0,108,0,5.12%,N/A,50
Colombia,"2,054",0,55,0,2.68%,N/A,123
Greece,"1,884",0,83,0,4.41%,84,52
South Africa,"1,845",0,18,0,0.98%,4,45
Argentina,"1,715",0,63,0,3.67%,N/A,266
Ukraine,"1,668",0,52,0,3.12%,N/A,35
Singapore,"1,623",0,6,0,0.37%,29,406
Iceland,"1,616",0,4,0,0.25%,11,633
Algeria,"1,572",0,205,0,13.04%,N/A,113
Egypt,"1,560",0,103,0,6.60%,N/A,305
Croatia,"1,343",0,19,0,1.41%,36,179
Morocco,"1,275",0,93,0,7.29%,N/A,97
New Zealand,"1,210",0,1,0,0.08%,4,282
Iraq,"1,202",0,69,0,5.74%,N/A,452
Estonia,"1,185",0,24,0,2.03%,12,69
Moldova,"1,174",0,27,0,2.30%,N/A,43
Slovenia,"1,091",0,40,0,3.67%,35,92
Hong Kong,961,0,4,0,0.42%,14,264
Lithuania,912,0,15,0,1.64%,N/A,7
Hungary,895,0,58,0,6.48%,23,94
Belarus,861,0,13,0,1.51%,16,54
Kuwait,855,0,1,0,0.12%,21,111
Armenia,853,0,8,0,0.94%,25,87
Bahrain,823,0,5,0,0.61%,3,447
Bosnia,764,0,33,0,4.32%,N/A,68
Azerbaijan,717,0,8,0,1.12%,40,44
Diamond Princess,712,0,11,0,1.54%,88,620
Kazakhstan,704,0,6,0,0.85%,N/A,36
Cameroon,685,0,8,0,1.17%,N/A,43
Tunisia,623,0,23,0,3.69%,N/A,5
North Macedonia,599,0,23,0,3.84%,N/A,23
Slovakia,581,0,2,0,0.34%,N/A,13
Bulgaria,581,0,23,0,3.96%,21,42
Latvia,548,0,2,0,0.36%,5,N/A
Lebanon,548,0,19,0,3.47%,42,35
Andorra,545,0,22,0,4.04%,N/A,39
Uzbekistan,534,0,2,0,0.37%,9,30
Cyprus,494,0,13,0,2.63%,6,33
Costa Rica,483,0,2,0,0.41%,N/A,24
Cuba,457,0,12,0,2.63%,16,27
Uruguay,424,0,7,0,1.65%,14,150
Afghanistan,423,0,14,0,3.31%,N/A,20
Burkina Faso,384,0,19,0,4.95%,N/A,127
Albania,383,0,22,0,5.74%,11,131
Taiwan,376,0,5,0,1.33%,0,61
Oman,371,0,2,0,0.54%,0,61
Jordan,353,0,6,0,1.70%,N/A,138
Ivory Coast,323,0,3,0,0.93%,N/A,41
Honduras,312,0,22,0,7.05%,N/A,6
San Marino,308,0,34,0,11.04%,14,45
Malta,241,0,0,0,0.00%,4,5
Ghana,287,0,5,0,1.74%,0,3
Kyrgyzstan,270,0,4,0,1.48%,5,25
Mauritius,268,0,7,0,2.61%,N/A,8
Palestine,263,0,1,0,0.38%,0,44
Nigeria,254,0,7,0,2.76%,N/A,44
Niger,253,0,10,0,3.95%,N/A,N/A
Vietnam,251,0,0,0,0.00%,N/A,126
Montenegro,248,0,2,0,0.81%,N/A,N/A
Senegal,244,0,2,0,0.82%,N/A,105
Bangladesh,218,0,20,0,9.17%,N/A,33
Georgia,211,0,3,0,1.42%,1,50
Bolivia,210,0,15,0,7.14%,N/A,2
Sri Lanka,185,0,6,0,3.24%,N/A,42
Kosovo,184,0,5,0,2.72%,N/A,30
Kenya,172,0,6,0,3.49%,0,7
Jersey,170,0,3,0,1.76%,N/A,N/A
Venezuela,167,0,9,0,5.39%,5,65
Guernsey,166,0,4,0,2.41%,0,34
DR Congo,161,0,18,0,11.18%,N/A,3
Isle of Man,158,0,1,0,0.63%,N/A,82
Guinea,144,0,0,0,0.00%,N/A,5
Brunei,135,0,1,0,0.74%,N/A,85
Djibouti,121,0,0,0,0.00%,0,18
Cambodia,117,0,0,0,0.00%,N/A,63
Paraguay,115,0,5,0,4.35%,2,15
Gibraltar,113,0,0,0,0.00%,1,60
Trinidad and Tobago,107,0,8,0,7.48%,N/A,1
Rwanda,105,0,0,0,0.00%,0,7
Northern Cyprus,92,0,3,0,3.26%,N/A,3
Madagascar,82,0,0,0,0.00%,1,0
Guatemala,80,0,3,0,3.75%,N/A,17
Monaco,79,0,1,0,1.27%,4,4
El Salvador,78,0,3,0,3.85%,5,2
Liechtenstein,78,0,1,0,1.28%,N/A,55
Aruba,74,0,0,0,0.00%,N/A,14
Togo,65,0,3,0,4.62%,N/A,23
Barbados,63,0,3,0,4.76%,2,6
Jamaica,59,0,3,0,5.08%,N/A,8
Mali,56,0,6,0,10.71%,N/A,12
Ethiopia,52,0,2,0,3.85%,1,4
Uganda,52,0,0,0,0.00%,N/A,N/A
French Polynesia,47,0,0,0,0.00%,1,N/A
Cayman Islands,45,0,1,0,2.22%,N/A,N/A
Congo Republic,45,0,5,0,11.11%,N/A,N/A
Macau,45,0,0,0,0.00%,1,10
Sint Maarten,40,0,6,0,15.00%,N/A,1
Bermuda,39,0,2,0,5.13%,N/A,17
Zambia,39,0,1,0,2.56%,N/A,7
Bahamas,33,0,5,0,15.15%,0,5
Guinea-Bissau,33,0,0,0,0.00%,N/A,0
Guyana,33,0,5,0,15.15%,4,8
Eritrea,31,0,0,0,0.00%,N/A,0
Gabon,30,0,1,0,3.33%,N/A,1
Benin,26,0,1,0,3.85%,N/A,5
Haiti,25,0,1,0,4.00%,N/A,N/A
Tanzania,24,0,1,0,4.17%,N/A,5
Myanmar,22,0,3,0,13.64%,N/A,0
Syria,19,0,2,0,10.53%,0,3
Maldives,19,0,0,0,0.00%,N/A,13
Libya,19,0,1,0,5.26%,N/A,1
New Caledonia,18,0,0,0,0.00%,1,1
Namibia,16,0,0,0,0.00%,0,1
Equatorial Guinea,16,0,0,0,0.00%,N/A,3
Angola,16,0,2,0,12.50%,0,2
Antigua and Barbuda,16,0,0,0,0.00%,0,0
Mongolia,15,0,0,0,0.00%,N/A,4
Fiji,15,0,0,0,0.00%,N/A,0
Liberia,14,0,3,0,21.43%,N/A,3
Saint Lucia,14,0,0,0,0.00%,0,1
Laos,14,0,0,0,0.00%,N/A,N/A
Curaçao,13,0,1,0,7.69%,N/A,7
Grenada,12,0,0,0,0.00%,1,0
Greenland,11,0,0,0,0.00%,N/A,2
Disputed territories,11,0,0,0,0.00%,N/A,N/A
