Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200317,2,2,0,0,0,0
20200318,2,0,0,0,0,0
20200319,2,0,0,0,0,0
20200320,5,3,0,0,0,0
20200321,5,0,0,0,0,0
20200322,5,0,0,0,0,0
20200323,8,3,0,0,0,0
20200324,9,1,0,0,0,0
20200325,12,3,0,0,0,0
20200326,19,7,0,0,0,0
20200327,19,0,0,0,0,0
20200328,28,9,0,0,0,0
20200329,46,18,0,0,0,0
20200330,46,0,0,0,0,0
20200331,50,4,0,0,0,0
20200401,55,5,0,0,0,0
20200402,55,0,0,0,0,0
20200403,60,5,0,0,0,0
20200404,62,2,0,0,0,0
20200405,64,2,0,0,0,0
20200406,64,0,0,0,0,0
20200407,64,0,0,0,0,0
