Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200225,1,1,0,0,0,0
20200226,1,0,0,0,0,0
20200227,1,0,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,4,3,0,0,0,0
20200309,4,0,0,0,0,0
20200310,4,0,0,0,0,0
20200311,4,0,0,0,0,0
20200312,7,3,0,0,0,0
20200313,7,0,0,0,0,0
20200314,7,0,0,0,0,0
20200315,10,3,0,0,0,0
20200316,16,6,0,0,0,0
20200317,21,5,0,0,0,0
20200318,22,1,0,0,0,0
20200319,22,0,0,0,0,0
20200320,24,2,0,0,0,0
20200321,24,0,0,0,0,0
20200322,40,16,0,0,0,0
20200323,41,1,0,0,1,1
20200324,73,32,0,0,1,0
20200325,82,9,0,0,2,1
20200326,92,10,0,0,2,0
20200327,108,16,0,0,2,0
20200328,115,7,0,0,2,0
20200329,119,4,0,0,4,2
20200330,141,22,0,0,4,0
20200331,170,29,0,0,4,0
20200401,234,64,0,0,5,1
20200402,234,0,0,0,5,0
20200403,264,30,0,0,5,0
20200404,294,30,0,0,5,0
20200405,330,36,0,0,7,2
20200406,360,30,0,0,7,0
20200407,412,52,0,0,11,4
