Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200321,2,2,0,0,0,0
20200322,2,0,0,0,0,0
20200323,3,1,0,0,0,0
20200324,3,0,0,0,0,0
20200325,3,0,0,0,0,0
20200326,3,0,0,0,0,0
20200327,4,1,0,0,0,0
20200328,5,1,0,0,0,0
20200329,5,0,0,0,2,2
20200330,5,0,0,0,2,0
20200331,5,0,0,0,2,0
20200401,5,0,1,1,2,0
20200402,5,0,1,0,2,0
20200403,5,0,1,0,2,0
20200404,6,1,2,1,2,0
20200405,10,4,2,0,2,0
20200406,12,2,2,0,2,0
20200407,13,1,2,0,2,0
