Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200309,2,2,0,0,0,0
20200310,2,0,0,0,0,0
20200311,10,8,0,0,0,0
20200312,10,0,0,0,0,0
20200313,23,13,0,0,0,0
20200314,32,9,0,0,1,1
20200315,37,5,0,0,1,0
20200316,41,4,0,0,1,0
20200317,50,9,0,0,1,0
20200318,54,4,0,0,1,0
20200319,58,4,0,0,1,0
20200320,68,10,0,0,2,1
20200321,68,0,0,0,2,0
20200322,74,6,0,0,2,0
20200323,102,28,0,0,2,0
20200324,109,7,10,10,4,2
20200325,131,22,10,0,5,1
20200326,159,28,10,0,5,0
20200327,168,9,10,0,8,3
20200328,177,9,10,0,10,2
20200329,192,15,10,0,10,0
20200330,203,11,10,0,10,0
20200331,218,15,10,0,15,5
20200401,234,16,10,0,15,0
20200402,251,17,10,0,16,1
20200403,278,27,10,0,16,0
20200404,305,27,10,0,18,2
20200405,333,28,10,0,18,0
20200406,239,-94,116,106,22,4
20200407,230,-9,131,15,22,0
