Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200303,1,1,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,2,1,0,0,0,0
20200315,1,-1,1,1,0,0
20200316,1,0,1,0,0,0
20200317,13,12,1,0,0,0
20200318,15,2,1,0,0,0
20200319,74,59,1,0,0,0
20200320,74,0,1,0,0,0
20200321,87,13,1,0,0,0
20200322,112,25,1,0,1,1
20200323,131,19,1,0,1,0
20200324,162,31,1,0,1,0
20200325,186,24,1,0,1,0
20200326,216,30,1,0,3,2
20200327,259,43,1,0,3,0
20200328,300,41,5,4,3,0
20200329,322,22,6,1,6,3
20200330,352,30,10,4,8,2
20200331,354,2,10,0,12,4
20200401,365,11,11,1,14,2
20200402,399,34,14,3,15,1
20200403,407,8,16,2,16,1
20200404,428,21,21,5,17,1
20200405,457,29,26,5,18,1
20200406,474,17,31,5,21,3
20200407,484,10,39,8,22,1
