Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200129,4,4,0,0,0,0
20200130,4,0,0,0,0,0
20200131,4,0,0,0,0,0
20200201,4,0,0,0,0,0
20200202,5,1,0,0,0,0
20200203,5,0,0,0,0,0
20200204,5,0,0,0,0,0
20200205,5,0,0,0,0,0
20200206,5,0,0,0,0,0
20200207,5,0,0,0,0,0
20200208,7,2,0,0,0,0
20200209,7,0,0,0,0,0
20200210,7,0,0,0,0,0
20200211,8,1,0,0,0,0
20200212,8,0,0,0,0,0
20200213,8,0,0,0,0,0
20200214,8,0,0,0,0,0
20200215,8,0,0,0,0,0
20200216,8,0,0,0,0,0
20200217,9,1,0,0,0,0
20200218,9,0,0,0,0,0
20200219,9,0,0,0,0,0
20200220,9,0,0,0,0,0
20200221,9,0,0,0,0,0
20200222,11,2,0,0,0,0
20200223,13,2,0,0,0,0
20200224,13,0,0,0,0,0
20200225,13,0,0,0,0,0
20200226,13,0,0,0,0,0
20200227,13,0,0,0,0,0
20200228,19,6,0,0,0,0
20200229,19,0,0,0,0,0
20200301,19,0,0,0,0,0
20200302,21,2,0,0,0,0
20200303,21,0,0,0,0,0
20200304,27,6,0,0,0,0
20200305,27,0,0,0,0,0
20200306,27,0,0,0,0,0
20200307,45,18,0,0,0,0
20200308,45,0,0,0,0,0
20200309,45,0,0,0,0,0
20200310,59,14,0,0,0,0
20200311,74,15,0,0,0,0
20200312,74,0,0,0,0,0
20200313,85,11,0,0,0,0
20200314,85,0,0,0,0,0
20200315,62,-23,23,23,0,0
20200316,75,13,23,0,0,0
20200317,75,0,23,0,0,0
20200318,72,-3,26,3,0,0
20200319,109,37,31,5,0,0
20200320,107,-2,31,0,2,2
20200321,113,6,38,7,2,0
20200322,113,0,38,0,2,0
20200323,155,42,41,3,2,0
20200324,205,50,41,0,2,0
20200325,279,74,52,11,2,0
20200326,279,0,52,0,2,0
20200327,348,69,55,3,2,0
20200328,411,63,55,0,2,0
20200329,509,98,58,3,3,1
20200330,545,36,61,3,5,2
20200331,597,52,61,0,6,1
20200401,745,148,61,0,8,2
20200402,920,175,96,35,8,0
20200403,1160,240,96,0,8,0
20200404,1370,210,125,29,10,2
20200405,1644,274,144,19,10,0
20200406,1898,254,167,23,11,1
20200407,2161,263,186,19,12,1
