Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200304,1,1,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,2,1,0,0,0,0
20200308,8,6,0,0,1,1
20200309,11,3,0,0,1,0
20200310,11,0,0,0,1,0
20200311,16,5,0,0,1,0
20200312,18,2,0,0,1,0
20200313,30,12,0,0,1,0
20200314,32,2,0,0,2,1
20200315,42,10,1,1,2,0
20200316,53,11,1,0,2,0
20200317,62,9,1,0,2,0
20200318,62,0,1,0,2,0
20200319,94,32,1,0,2,0
20200320,124,30,1,0,3,1
20200321,154,30,1,0,3,0
20200322,220,66,1,0,4,1
20200323,261,41,1,0,4,0
20200324,296,35,1,0,4,0
20200325,493,197,1,0,8,4
20200326,576,83,1,0,12,4
20200327,576,0,1,0,12,0
20200328,672,96,1,0,17,5
20200329,725,53,1,0,19,2
20200330,739,14,1,0,80,61
20200331,787,48,240,239,27,-53
20200401,861,74,240,0,32,5
20200402,861,0,240,0,32,0
20200403,1071,210,240,0,42,10
20200404,1071,0,240,0,42,0
20200405,1168,97,240,0,43,1
20200406,1268,100,240,0,46,3
20200407,1415,147,240,0,60,14
