Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200302,1,1,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,8,7,0,0,0,0
20200315,8,0,0,0,0,0
20200316,26,18,0,0,0,0
20200317,52,26,0,0,0,0
20200318,52,0,0,0,0,0
20200319,121,69,1,1,0,0
20200320,135,14,1,0,0,0
20200321,159,24,1,0,0,0
20200322,188,29,2,1,0,0
20200323,233,45,2,0,0,0
20200324,235,2,14,12,0,0
20200325,249,14,16,2,0,0
20200326,272,23,18,2,0,0
20200327,310,38,18,0,1,1
20200328,343,33,28,10,1,0
20200329,391,48,30,2,3,2
20200330,449,58,30,0,3,0
20200331,499,50,30,0,3,0
20200401,537,38,31,1,3,0
20200402,626,89,33,2,4,1
20200403,686,60,43,10,7,3
20200404,720,34,43,0,7,0
20200405,758,38,57,14,7,0
20200406,763,5,62,5,8,1
20200407,758,-5,87,25,8,0
