Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200125,3,3,0,0,0,0
20200126,3,0,0,0,0,0
20200127,4,1,0,0,0,0
20200128,5,1,0,0,0,0
20200129,7,2,0,0,0,0
20200130,7,0,0,0,0,0
20200131,9,2,0,0,0,0
20200201,12,3,0,0,0,0
20200202,12,0,0,0,0,0
20200203,12,0,0,0,0,0
20200204,12,0,0,0,0,0
20200205,13,1,0,0,0,0
20200206,14,1,0,0,0,0
20200207,15,1,0,0,0,0
20200208,15,0,0,0,0,0
20200209,15,0,0,0,0,0
20200210,15,0,0,0,0,0
20200211,15,0,0,0,0,0
20200212,15,0,0,0,0,0
20200213,15,0,0,0,0,0
20200214,15,0,0,0,0,0
20200215,15,0,0,0,0,0
20200216,15,0,0,0,0,0
20200217,15,0,0,0,0,0
20200218,15,0,0,0,0,0
20200219,15,0,0,0,0,0
20200220,15,0,0,0,0,0
20200221,17,2,0,0,0,0
20200222,21,4,0,0,0,0
20200223,22,1,0,0,0,0
20200224,22,0,0,0,0,0
20200225,22,0,0,0,0,0
20200226,23,1,0,0,0,0
20200227,23,0,0,0,0,0
20200228,23,0,0,0,0,0
20200229,24,1,0,0,0,0
20200301,25,1,0,0,0,0
20200302,26,1,0,0,1,1
20200303,32,6,0,0,1,0
20200304,42,10,0,0,1,0
20200305,55,13,0,0,2,1
20200306,55,0,0,0,2,0
20200307,60,5,0,0,2,0
20200308,71,11,0,0,3,1
20200309,74,3,0,0,3,0
20200310,89,15,0,0,3,0
20200311,109,20,0,0,3,0
20200312,119,10,0,0,3,0
20200313,137,18,0,0,3,0
20200314,194,57,0,0,3,0
20200315,222,28,24,24,3,0
20200316,266,44,27,3,5,2
20200317,343,77,27,0,5,0
20200318,382,39,27,0,5,0
20200319,723,341,27,0,6,1
20200320,843,120,27,0,7,1
20200321,1017,174,27,0,7,0
20200322,1064,47,27,0,7,0
20200323,1675,611,27,0,7,0
20200324,2101,426,27,0,8,1
20200325,2282,181,27,0,8,0
20200326,2946,664,27,0,12,4
20200327,2853,-93,119,92,13,1
20200328,3502,649,119,0,14,1
20200329,3958,456,119,0,16,2
20200330,4110,152,119,0,16,0
20200331,4568,458,119,0,20,4
20200401,4836,268,119,0,21,1
20200402,5080,244,119,0,25,4
20200403,5307,227,119,0,28,3
20200404,5399,92,119,0,30,2
20200405,5534,135,119,0,34,4
20200406,5631,97,119,0,45,11
20200407,5680,49,119,0,45,0
