Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200226,2,2,0,0,0,0
20200227,2,0,0,0,0,0
20200228,4,2,0,0,0,0
20200229,5,1,0,0,0,0
20200301,10,5,0,0,0,0
20200302,10,0,0,0,0,0
20200303,18,8,0,0,0,0
20200304,24,6,0,0,0,0
20200305,37,13,0,0,0,0
20200306,47,10,0,0,0,0
20200307,66,19,0,0,0,0
20200308,104,38,0,0,0,0
20200309,112,8,0,0,0,0
20200310,131,19,0,0,0,0
20200311,182,51,0,0,0,0
20200312,302,120,0,0,0,0
20200313,360,58,0,0,1,1
20200314,503,143,0,0,1,0
20200315,793,290,6,6,1,0
20200316,952,159,6,0,1,0
20200317,1123,171,6,0,3,2
20200318,1323,200,6,0,3,0
20200319,2000,677,9,3,4,1
20200320,2374,374,9,0,5,1
20200321,2633,259,9,0,7,2
20200322,3219,586,9,0,16,9
20200323,3894,675,9,0,21,5
20200324,4839,945,9,0,28,7
20200325,5521,682,9,0,30,2
20200326,6340,819,9,0,49,19
20200327,7332,992,9,0,58,9
20200328,7404,72,225,216,68,10
20200329,8243,839,225,0,68,0
20200330,8623,380,646,421,108,40
20200331,8748,125,1095,449,128,20
20200401,8900,152,1436,341,146,18
20200402,9060,160,1749,313,158,12
20200403,9476,416,1749,0,158,0
20200404,9088,-388,2507,758,186,28
20200405,9214,126,2507,0,186,0
20200406,9272,58,2507,0,204,18
20200407,9570,298,2507,0,220,16
