Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200301,3,3,0,0,0,0
20200302,3,0,0,0,0,0
20200303,3,0,0,0,0,0
20200304,3,0,0,0,0,0
20200305,3,0,0,0,0,0
20200306,3,0,0,0,0,0
20200307,9,6,0,0,0,0
20200308,9,0,0,0,0,0
20200309,9,0,0,0,0,0
20200310,9,0,0,0,0,0
20200311,9,0,0,0,0,0
20200312,9,0,0,0,0,0
20200313,11,2,0,0,0,0
20200314,11,0,0,0,0,0
20200315,13,2,6,6,0,0
20200316,13,0,6,0,0,0
20200317,13,0,6,0,0,0
20200318,15,2,6,0,0,0
20200319,27,12,6,0,1,1
20200320,27,0,6,0,1,0
20200321,33,6,10,4,1,0
20200322,54,21,10,0,1,0
20200323,61,7,10,0,1,0
20200324,76,15,10,0,1,0
20200325,81,5,10,0,2,1
20200326,104,23,15,5,3,1
20200327,147,43,15,0,3,0
20200328,163,16,15,0,4,1
20200329,190,27,15,0,4,0
20200330,243,53,26,11,4,0
20200331,267,24,26,0,5,1
20200401,328,61,26,0,5,0
20200402,369,41,26,0,5,0
20200403,406,37,32,6,5,0
20200404,406,0,32,0,5,0
20200405,547,141,32,0,5,0
20200406,590,43,44,12,7,2
20200407,665,75,44,0,8,1
