Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200205,1,1,0,0,0,0
20200206,1,0,0,0,0,0
20200207,1,0,0,0,0,0
20200208,1,0,0,0,0,0
20200209,1,0,0,0,0,0
20200210,1,0,0,0,0,0
20200211,1,0,0,0,0,0
20200212,1,0,0,0,0,0
20200213,1,0,0,0,0,0
20200214,1,0,0,0,0,0
20200215,1,0,0,0,0,0
20200216,1,0,0,0,0,0
20200217,1,0,0,0,0,0
20200218,1,0,0,0,0,0
20200219,1,0,0,0,0,0
20200220,1,0,0,0,0,0
20200221,1,0,0,0,0,0
20200222,1,0,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,1,0,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,8,7,0,0,0,0
20200304,8,0,0,0,0,0
20200305,23,15,0,0,0,0
20200306,50,27,0,0,0,0
20200307,109,59,0,0,0,0
20200308,169,60,0,0,0,0
20200309,200,31,0,0,0,0
20200310,239,39,0,0,0,0
20200311,267,28,0,0,0,0
20200312,314,47,0,0,0,0
20200313,314,0,0,0,0,0
20200314,599,285,0,0,0,0
20200315,688,89,1,1,0,0
20200316,1079,391,1,0,5,5
20200317,1079,0,1,0,5,0
20200318,1471,392,1,0,14,9
20200319,1780,309,1,0,14,0
20200320,2219,439,1,0,37,23
20200321,2485,266,263,262,67,30
20200322,3036,551,290,27,75,8
20200323,3305,269,350,60,88,13
20200324,3797,492,350,0,122,34
20200325,4445,648,350,0,178,56
20200326,5665,1220,350,0,220,42
20200327,6645,980,350,0,289,69
20200328,8431,1786,350,0,353,64
20200329,10055,1624,350,0,431,78
20200330,9859,-196,1527,1177,513,82
20200331,10374,515,1696,169,705,192
20200401,11004,630,2132,436,828,123
20200402,12205,1201,2132,0,1011,183
20200403,12755,550,2872,740,1143,132
20200404,14276,1521,2872,0,1283,140
20200405,15642,1366,2872,0,1447,164
20200406,16310,668,2872,0,1632,185
20200407,17287,977,2872,0,2035,403
