Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200317,1,1,0,0,0,0
20200318,1,0,0,0,0,0
20200319,1,0,0,0,0,0
20200320,2,1,0,0,0,0
20200321,2,0,0,0,0,0
20200322,2,0,0,0,0,0
20200323,2,0,0,0,0,0
20200324,5,3,0,0,0,0
20200325,5,0,0,0,0,0
20200326,5,0,0,0,0,0
20200327,6,1,0,0,0,0
20200328,6,0,0,0,0,0
20200329,6,0,0,0,0,0
20200330,6,0,0,0,0,0
20200331,6,0,0,0,0,0
20200401,12,6,1,1,0,0
20200402,12,0,1,0,0,0
20200403,14,2,2,1,0,0
20200404,14,0,2,0,0,0
20200405,17,3,5,3,0,0
20200406,16,-1,5,0,1,1
20200407,20,4,5,0,1,0
