Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200311,2,2,0,0,0,0
20200312,2,0,0,0,0,0
20200313,2,0,0,0,0,0
20200314,2,0,0,0,0,0
20200315,3,1,0,0,0,0
20200316,3,0,0,0,0,0
20200317,15,12,0,0,0,0
20200318,20,5,0,0,0,0
20200319,26,6,0,0,1,1
20200320,39,13,0,0,1,0
20200321,33,-6,5,5,2,1
20200322,64,31,5,0,3,1
20200323,90,26,5,0,4,1
20200324,105,15,5,0,4,0
20200325,105,0,5,0,4,0
20200326,135,30,10,5,7,3
20200327,159,24,12,2,9,2
20200328,175,16,21,9,11,2
20200329,187,12,23,2,12,1
20200330,203,16,31,8,12,0
20200331,215,12,32,1,14,2
20200401,220,5,46,14,16,2
20200402,222,2,50,4,16,0
20200403,236,14,50,0,16,0
20200404,236,0,66,16,16,0
20200405,238,2,90,24,17,1
20200406,238,0,108,18,18,1
20200407,238,0,127,19,19,1
