Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200309,3,3,0,0,0,0
20200310,3,0,0,0,0,0
20200311,3,0,0,0,0,0
20200312,3,0,0,0,0,0
20200313,3,0,0,0,0,0
20200314,3,0,0,0,0,0
20200315,3,0,0,0,0,0
20200316,5,2,0,0,0,0
20200317,8,3,0,0,0,0
20200318,5,-3,3,3,0,0
20200319,13,8,3,0,1,1
20200320,16,3,3,0,1,0
20200321,19,3,3,0,2,1
20200322,20,1,5,2,2,0
20200323,26,6,5,0,2,0
20200324,25,-1,5,0,3,1
20200325,30,5,5,0,4,1
20200326,28,-2,11,6,5,1
20200327,32,4,11,0,5,0
20200328,32,0,11,0,5,0
20200329,32,0,11,0,5,0
20200330,25,-7,19,8,5,0
20200331,21,-4,25,6,5,0
20200401,23,2,25,0,6,1
20200402,25,2,25,0,6,0
20200403,29,4,26,1,6,0
20200404,32,3,30,4,8,2
20200405,46,14,33,3,9,1
20200406,78,32,33,0,12,3
20200407,114,36,33,0,17,5
