Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,2,2,0,0,0,0
20200309,4,2,0,0,0,0
20200310,4,0,0,0,0,0
20200311,6,2,0,0,0,0
20200312,6,0,0,0,1,1
20200313,6,0,0,0,1,0
20200314,6,0,0,0,1,0
20200315,41,35,0,0,2,1
20200316,49,8,0,0,2,0
20200317,65,16,0,0,2,0
20200318,79,14,0,0,2,0
20200319,105,26,0,0,2,0
20200320,124,19,0,0,3,1
20200321,124,0,0,0,3,0
20200322,181,57,3,3,3,0
20200323,195,14,3,0,3,0
20200324,212,17,3,0,3,0
20200325,236,24,3,0,3,0
20200326,258,22,3,0,3,0
20200327,287,29,3,0,3,0
20200328,307,20,3,0,3,0
20200329,328,21,3,0,7,4
20200330,335,7,3,0,8,1
20200331,388,53,3,0,8,0
20200401,411,23,3,0,8,0
20200402,444,33,3,0,10,2
20200403,468,24,3,0,14,4
20200404,481,13,3,0,14,0
20200405,508,27,3,0,20,6
20200406,526,18,3,0,20,0
20200407,552,26,3,0,22,2
