Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200225,8,8,0,0,0,0
20200226,26,18,0,0,0,0
20200227,33,7,0,0,0,0
20200228,33,0,0,0,0,0
20200229,38,5,0,0,0,0
20200301,40,2,0,0,0,0
20200302,47,7,0,0,0,0
20200303,49,2,0,0,0,0
20200304,49,0,0,0,0,0
20200305,49,0,0,0,0,0
20200306,49,0,0,0,0,0
20200307,49,0,0,0,0,0
20200308,56,7,0,0,0,0
20200309,79,23,0,0,0,0
20200310,109,30,0,0,0,0
20200311,110,1,0,0,0,0
20200312,189,79,0,0,0,0
20200313,195,6,0,0,0,0
20200314,210,15,0,0,0,0
20200315,151,-59,60,60,0,0
20200316,160,9,60,0,1,1
20200317,147,-13,81,21,1,0
20200318,148,1,88,7,1,0
20200319,168,20,100,12,1,0
20200320,184,16,100,0,1,0
20200321,205,21,100,0,1,0
20200322,183,-22,149,49,2,1
20200323,188,5,149,0,2,0
20200324,211,23,177,28,3,1
20200325,225,14,190,13,4,1
20200326,249,24,204,14,4,0
20200327,235,-14,227,23,4,0
20200328,215,-20,254,27,4,0
20200329,223,8,272,18,4,0
20200330,232,9,279,7,4,0
20200331,268,36,295,16,4,0
20200401,249,-19,316,21,4,0
20200402,290,41,341,25,4,0
20200403,296,6,372,31,4,0
20200404,285,-11,399,27,4,0
20200405,267,-18,427,28,4,0
20200406,269,2,427,0,4,0
20200407,349,80,458,31,4,0
