Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200317,1,1,0,0,0,0
20200318,1,0,0,0,0,0
20200319,1,0,0,0,0,0
20200320,3,2,0,0,0,0
20200321,4,1,0,0,0,0
20200322,4,0,0,0,0,0
20200323,4,0,0,0,0,0
20200324,4,0,0,0,0,0
20200325,4,0,0,0,0,0
20200326,5,1,0,0,0,0
20200327,5,0,0,0,0,0
20200328,9,4,0,0,0,0
20200329,10,1,0,0,0,0
20200330,10,0,0,0,0,0
20200331,14,4,0,0,0,0
20200401,14,0,0,0,0,0
20200402,15,1,0,0,0,0
20200403,20,5,0,0,1,1
20200404,21,1,0,0,3,2
20200405,21,0,0,0,3,0
20200406,24,3,0,0,4,1
20200407,24,0,0,0,5,1
