Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,2,2,0,0,0,0
20200306,2,0,0,0,0,0
20200307,2,0,0,0,0,0
20200308,2,0,0,0,0,0
20200309,2,0,0,0,0,0
20200310,2,0,0,0,0,0
20200311,4,2,0,0,0,0
20200312,4,0,0,0,0,0
20200313,4,0,0,0,0,0
20200314,11,7,0,0,0,0
20200315,18,7,0,0,0,0
20200316,18,0,0,0,0,0
20200317,19,1,0,0,0,0
20200318,19,0,0,0,0,0
20200319,64,45,0,0,0,0
20200320,64,0,0,0,0,0
20200321,64,0,0,0,0,0
20200322,91,27,0,0,1,1
20200323,128,37,2,2,1,0
20200324,128,0,2,0,1,0
20200325,171,43,2,0,3,2
20200326,171,0,2,0,3,0
20200327,221,50,5,3,4,1
20200328,224,3,5,0,4,0
20200329,310,86,8,3,6,2
20200330,332,22,17,9,9,3
20200331,380,48,17,0,12,3
20200401,384,4,17,0,12,0
20200402,434,50,17,0,13,1
20200403,542,108,17,0,16,3
20200404,573,31,30,13,21,5
20200405,581,8,30,0,21,0
20200406,598,17,47,17,29,8
20200407,619,21,47,0,29,0
