Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,3,3,0,0,0,0
20200318,3,0,0,0,0,0
20200319,3,0,0,0,0,0
20200320,3,0,0,0,0,0
20200321,3,0,0,0,0,0
20200322,3,0,0,0,0,0
20200323,3,0,0,0,0,0
20200324,3,0,0,0,0,0
20200325,3,0,0,0,0,0
20200326,3,0,0,0,0,0
20200327,3,0,0,0,0,0
20200328,5,2,0,0,0,0
20200329,5,0,0,0,0,0
20200330,5,0,0,0,0,0
20200331,6,1,0,0,0,0
20200401,6,0,0,0,0,0
20200402,6,0,0,0,0,0
20200403,6,0,0,0,0,0
20200404,6,0,0,0,0,0
20200405,6,0,0,0,0,0
20200406,6,0,0,0,0,0
20200407,6,0,0,0,0,0
