Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200228,1,1,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,6,5,0,0,0,0
20200306,6,0,0,0,0,0
20200307,6,0,0,0,0,0
20200308,6,0,0,0,0,0
20200309,6,0,0,0,0,0
20200310,6,0,0,0,0,0
20200311,9,3,0,0,0,0
20200312,12,3,0,0,0,0
20200313,12,0,0,0,0,0
20200314,21,9,0,0,0,0
20200315,18,-3,3,3,0,0
20200316,33,15,3,0,0,0
20200317,33,0,3,0,0,0
20200318,33,0,3,0,0,0
20200319,48,15,3,0,0,0
20200320,54,6,15,12,0,0
20200321,54,0,15,0,0,0
20200322,61,7,15,0,0,0
20200323,67,6,22,7,0,0
20200324,67,0,22,0,0,0
20200325,64,-3,22,0,0,0
20200326,64,0,22,0,0,0
20200327,64,0,22,0,0,0
20200328,72,8,22,0,0,0
20200329,72,0,22,0,0,0
20200330,105,33,47,25,0,0
20200331,104,-1,47,0,1,1
20200401,108,4,47,0,2,1
20200402,204,96,46,-1,4,2
20200403,301,97,46,0,4,0
20200404,348,47,41,-5,5,1
20200405,442,94,52,11,8,3
20200406,634,192,53,1,13,5
20200407,794,160,54,1,13,0
