Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200320,2,2,0,0,0,0
20200321,2,0,0,0,0,0
20200322,2,0,0,0,0,0
20200323,2,0,0,0,0,0
20200324,6,4,0,0,0,0
20200325,6,0,0,0,0,0
20200326,7,1,0,0,0,0
20200327,7,0,0,0,0,0
20200328,15,8,0,0,0,0
20200329,17,2,0,0,0,0
20200330,22,5,0,0,0,0
20200331,22,0,0,0,0,0
20200401,27,5,0,0,0,0
20200402,32,5,0,0,0,0
20200403,32,0,0,0,0,0
20200404,35,3,0,0,0,0
20200405,35,0,0,0,0,0
20200406,37,2,0,0,0,0
20200407,37,0,0,0,0,0
