Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200311,2,2,0,0,0,0
20200312,2,0,0,0,0,0
20200313,3,1,0,0,0,0
20200314,3,0,0,0,0,0
20200315,3,0,0,0,0,0
20200316,11,8,0,0,0,0
20200317,11,0,0,0,0,0
20200318,11,0,0,0,0,0
20200319,11,0,0,0,0,0
20200320,15,4,0,0,0,0
20200321,16,1,0,0,0,0
20200322,19,3,0,0,0,0
20200323,24,5,0,0,0,0
20200324,27,3,0,0,0,0
20200325,28,1,0,0,0,0
20200326,39,11,0,0,0,0
20200327,39,0,0,0,0,0
20200328,61,22,0,0,0,0
20200329,74,13,0,0,0,0
20200330,74,0,0,0,0,0
20200331,92,18,0,0,5,5
20200401,101,9,0,0,6,1
20200402,108,7,0,0,7,1
20200403,115,7,0,0,8,1
20200404,123,8,0,0,9,1
20200405,129,6,0,0,10,1
20200406,147,18,0,0,10,0
20200407,172,25,0,0,11,1
