Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,2,1,0,0,0,0
20200302,2,0,0,0,0,0
20200303,2,0,0,0,0,0
20200304,2,0,0,0,0,0
20200305,3,1,0,0,0,0
20200306,7,4,0,0,0,0
20200307,13,6,0,0,0,0
20200308,19,6,0,0,0,0
20200309,25,6,0,0,0,0
20200310,25,0,0,0,0,0
20200311,34,9,0,0,0,0
20200312,52,18,0,0,0,0
20200313,77,25,0,0,0,0
20200314,98,21,0,0,0,0
20200315,121,23,0,0,0,0
20200316,200,79,0,0,0,0
20200317,234,34,0,0,0,0
20200318,234,0,0,0,0,0
20200319,614,380,0,0,7,7
20200320,893,279,0,0,11,4
20200321,1110,217,0,0,18,7
20200322,1521,411,0,0,25,7
20200323,1521,0,0,0,25,0
20200324,1857,336,0,0,34,9
20200325,2376,519,0,0,57,23
20200326,2838,462,0,0,77,20
20200327,2838,0,0,0,77,0
20200328,3325,487,0,0,92,15
20200329,4120,795,0,0,136,44
20200330,4420,300,0,0,159,23
20200331,5516,1096,0,0,201,42
20200401,6595,1079,0,0,241,40
20200402,7611,1016,0,0,299,58
20200403,7611,0,0,0,299,0
20200404,8697,1086,0,0,359,60
20200405,9919,1222,0,0,359,0
20200406,11503,1584,0,0,553,194
20200407,13050,1547,0,0,667,114
