Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,2,2,0,0,0,0
20200320,2,0,0,0,0,0
20200321,5,3,0,0,0,0
20200322,5,0,0,0,0,0
20200323,5,0,0,0,0,0
20200324,17,12,0,0,0,0
20200325,18,1,0,0,0,0
20200326,18,0,0,0,0,0
20200327,18,0,0,0,0,0
20200328,24,6,0,0,0,0
20200329,24,0,0,0,0,0
20200330,26,2,0,0,0,0
20200331,33,7,0,0,0,0
20200401,33,0,0,0,0,0
20200402,33,0,0,0,0,0
20200403,45,12,0,0,0,0
20200404,45,0,0,0,0,0
20200405,51,6,0,0,0,0
20200406,51,0,0,0,0,0
20200407,55,4,0,0,1,1
