Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200310,1,1,0,0,0,0
20200311,1,0,0,0,0,0
20200312,12,11,0,0,0,0
20200313,12,0,0,0,0,0
20200314,25,13,0,0,0,0
20200315,40,15,0,0,0,0
20200316,50,10,0,0,0,0
20200317,50,0,0,0,0,0
20200318,54,4,0,0,0,0
20200319,73,19,0,0,0,0
20200320,77,4,1,1,0,0
20200321,81,4,2,1,0,0
20200322,84,3,4,2,0,0
20200323,87,3,4,0,0,0
20200324,100,13,4,0,0,0
20200325,105,5,4,0,0,0
20200326,109,4,5,1,0,0
20200327,104,-5,11,6,0,0
20200328,94,-10,25,14,1,1
20200329,91,-3,34,9,1,0
20200330,88,-3,38,4,1,0
20200331,83,-5,45,7,1,0
20200401,85,2,45,0,1,0
20200402,76,-9,56,11,1,0
20200403,68,-8,65,9,1,0
20200404,69,1,65,0,1,0
20200405,69,0,65,0,1,0
20200406,69,0,65,0,1,0
20200407,69,0,65,0,1,0
