Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200127,1,1,0,0,0,0
20200128,2,1,0,0,0,0
20200129,3,1,0,0,0,0
20200130,3,0,0,0,0,0
20200131,3,0,0,0,0,0
20200201,4,1,0,0,0,0
20200202,4,0,0,0,0,0
20200203,4,0,0,0,0,0
20200204,4,0,0,0,0,0
20200205,5,1,0,0,0,0
20200206,5,0,0,0,0,0
20200207,7,2,0,0,0,0
20200208,7,0,0,0,0,0
20200209,7,0,0,0,0,0
20200210,7,0,0,0,0,0
20200211,7,0,0,0,0,0
20200212,7,0,0,0,0,0
20200213,7,0,0,0,0,0
20200214,7,0,0,0,0,0
20200215,7,0,0,0,0,0
20200216,7,0,0,0,0,0
20200217,7,0,0,0,0,0
20200218,8,1,0,0,0,0
20200219,8,0,0,0,0,0
20200220,8,0,0,0,0,0
20200221,8,0,0,0,0,0
20200222,8,0,0,0,0,0
20200223,9,1,0,0,0,0
20200224,9,0,0,0,0,0
20200225,10,1,0,0,0,0
20200226,10,0,0,0,0,0
20200227,11,1,0,0,0,0
20200228,11,0,0,0,0,0
20200229,14,3,0,0,0,0
20200301,19,5,0,0,0,0
20200302,19,0,0,0,0,0
20200303,27,8,0,0,0,0
20200304,30,3,0,0,0,0
20200305,30,0,0,0,0,0
20200306,45,15,0,0,0,0
20200307,51,6,0,0,0,0
20200308,57,6,0,0,0,0
20200309,62,5,0,0,0,0
20200310,77,15,0,0,0,0
20200311,92,15,0,0,1,1
20200312,92,0,0,0,1,0
20200313,137,45,0,0,1,0
20200314,175,38,0,0,1,0
20200315,239,64,4,4,1,0
20200316,299,60,4,0,1,0
20200317,419,120,4,0,1,0
20200318,413,-6,10,6,1,0
20200319,850,437,11,1,12,11
20200320,1064,214,11,0,12,0
20200321,1299,235,11,0,20,8
20200322,1438,139,12,1,20,0
20200323,2053,615,14,2,24,4
20200324,2654,601,112,98,26,2
20200325,3190,536,183,71,36,10
20200326,3802,612,202,19,39,3
20200327,4378,576,202,0,53,14
20200328,5030,652,345,143,59,6
20200329,5909,879,345,0,66,7
20200330,7023,1114,345,0,80,14
20200331,6898,-125,1592,1247,101,21
20200401,8017,1119,1592,0,111,10
20200402,9552,1535,1592,0,139,28
20200403,10717,1165,1592,0,187,48
20200404,11208,491,2577,985,233,46
20200405,12340,1132,2770,193,277,44
20200406,13368,1028,2770,0,320,43
20200407,14746,1378,2770,0,381,61
