Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200226,1,1,0,0,0,0
20200227,1,0,0,0,0,0
20200228,6,5,0,0,0,0
20200229,10,4,0,0,0,0
20200301,18,8,0,0,0,0
20200302,24,6,0,0,0,0
20200303,30,6,0,0,0,0
20200304,37,7,0,0,0,0
20200305,56,19,0,0,0,0
20200306,85,29,0,0,1,1
20200307,208,123,0,0,1,0
20200308,262,54,0,0,2,1
20200309,330,68,0,0,2,0
20200310,330,0,0,0,2,0
20200311,488,158,0,0,3,1
20200312,641,153,0,0,4,1
20200313,852,211,0,0,6,2
20200314,1119,267,0,0,6,0
20200315,1345,226,3,3,11,5
20200316,2184,839,3,0,13,2
20200317,2183,-1,3,0,14,1
20200318,2633,450,3,0,14,0
20200319,3396,763,3,0,39,25
20200320,4130,734,3,0,43,4
20200321,6054,1924,3,0,56,13
20200322,6951,897,3,0,60,4
20200323,7991,1040,3,0,66,6
20200324,8747,756,3,0,86,20
20200325,9659,912,3,0,103,17
20200326,11647,1988,3,0,161,58
20200327,11647,0,3,0,161,0
20200328,11448,-199,1530,1527,235,74
20200329,12549,1101,1530,0,257,22
20200330,12676,127,1823,293,300,43
20200331,13980,1304,1823,0,373,73
20200401,14938,958,1823,0,378,5
20200402,16012,1074,1823,0,432,54
20200403,13441,-2571,5657,3834,604,172
20200404,13691,250,5657,0,637,33
20200405,14019,328,6415,758,666,29
20200406,13158,-861,7298,883,734,68
20200407,12728,-430,8704,1406,821,87
