Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200304,1,1,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,5,4,0,0,0,0
20200308,5,0,0,0,0,0
20200309,10,5,0,0,0,0
20200310,13,3,0,0,0,0
20200311,17,4,0,0,0,0
20200312,23,6,0,0,0,0
20200313,33,10,0,0,0,0
20200314,43,10,0,0,0,0
20200315,61,18,0,0,0,0
20200316,75,14,0,0,0,0
20200317,156,81,0,0,0,0
20200318,156,0,0,0,0,0
20200319,342,186,0,0,0,0
20200320,434,92,0,0,0,0
20200321,434,0,0,0,0,0
20200322,623,189,8,8,1,1
20200323,622,-1,8,0,2,1
20200324,903,281,17,9,2,0
20200325,903,0,17,0,2,0
20200326,1286,383,17,0,3,1
20200327,1285,-1,17,0,4,1
20200328,1860,575,43,26,6,2
20200329,1860,0,43,0,6,0
20200330,2057,197,75,32,7,1
20200331,2570,513,156,81,12,5
20200401,2781,211,234,78,16,4
20200402,2781,0,234,0,16,0
20200403,3380,599,335,101,22,6
20200404,3380,0,335,0,22,0
20200405,3606,226,528,193,27,5
20200406,3839,233,598,70,34,7
20200407,4475,636,598,0,43,9
