Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200119,188,188,25,25,4,4
20200120,260,72,25,0,6,2
20200121,406,146,25,0,9,3
20200122,526,120,28,3,17,8
20200123,776,250,34,6,25,8
20200124,1218,442,38,4,41,16
20200125,1880,662,49,11,56,15
20200126,2631,751,51,2,80,24
20200127,4369,1738,60,9,106,26
20200128,5764,1395,103,43,132,26
20200129,7442,1678,124,21,170,38
20200130,9336,1894,171,47,213,43
20200131,11319,1983,243,72,259,46
20200201,13779,2460,328,85,304,45
20200202,16402,2623,475,147,361,57
20200203,19414,3012,632,157,425,64
20200204,22980,3566,892,260,491,66
20200205,26343,3363,1153,261,564,73
20200206,29032,2689,1542,389,637,73
20200207,31823,2791,2052,510,723,86
20200208,33788,1965,2651,599,812,89
20200209,35982,2194,3283,632,909,97
20200210,37626,1644,3998,715,1017,108
20200211,38800,1174,4742,744,1114,97
20200212,53638,14838,5915,1173,1368,254
20200213,55823,2185,6728,813,1381,13
20200214,56951,1128,8101,1373,1524,143
20200215,57493,542,9425,1324,1666,142
20200216,58010,517,10853,1428,1772,106
20200217,58097,87,12561,1708,1870,98
20200218,57886,-211,14387,1826,2006,136
20200219,56810,-1076,16170,1783,2121,115
20200220,55475,-1335,18279,2109,2239,118
20200221,53371,-2104,20673,2394,2348,109
20200222,51689,-1682,22907,2234,2445,97
20200223,49910,-1779,24757,1850,2595,150
20200224,47760,-2150,27353,2596,2666,71
20200225,45697,-2063,29775,2422,2718,52
20200226,43352,-2345,32531,2756,2747,29
20200227,40011,-3341,36157,3626,2791,44
20200228,37502,-2509,39049,2892,2838,47
20200229,35420,-2082,41675,2626,2873,35
20200301,32741,-2679,44518,2843,2915,42
20200302,30096,-2645,47260,2742,2946,31
20200303,27524,-2572,49914,2654,2984,38
20200304,25441,-2083,52109,2195,3015,31
20200305,23872,-1569,53793,1684,3045,30
20200306,22263,-1609,55477,1684,3073,28
20200307,20616,-1647,57143,1666,3100,27
20200308,19097,-1519,58684,1541,3123,23
20200309,17802,-1295,59982,1298,3140,17
20200310,16226,-1576,61567,1585,3162,22
20200311,14920,-1306,62887,1320,3173,11
20200312,13607,-1313,64216,1329,3180,7
20200313,12178,-1429,65649,1433,3194,14
20200314,10822,-1356,67022,1373,3204,10
20200315,9996,-826,67863,841,3218,14
20200316,9086,-910,68799,936,3231,13
20200317,8184,-902,69725,926,3242,11
20200318,7438,-746,70547,822,3250,8
20200319,6763,-675,71284,737,3253,3
20200320,6279,-484,71876,592,3261,8
20200321,5849,-430,72382,506,3267,6
20200322,5483,-366,72841,459,3276,9
20200323,5165,-318,73299,458,3283,7
20200324,4769,-396,73791,492,3287,4
20200325,4471,-298,74196,405,3293,6
20200326,4043,-428,74737,541,3298,5
20200327,3790,-253,75122,385,3301,3
20200328,3435,-355,75600,478,3306,5
20200329,3199,-236,75937,337,3311,5
20200330,3006,-193,76225,288,3314,3
20200331,2895,-111,76415,190,3321,7
20200401,2787,-108,76610,195,3327,6
20200402,2686,-101,76785,175,3331,4
20200403,2556,-130,76984,199,3335,4
20200404,2382,-174,77210,226,3338,3
20200405,2317,-65,77348,138,3340,2
20200406,2281,-36,77450,102,3340,0
20200407,2229,-52,77586,136,3342,2
