Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200305,1,1,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,1,0,0,0,0,0
20200311,1,0,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,1,0,0,0,0,0
20200315,1,0,0,0,0,0
20200316,1,0,0,0,0,0
20200317,3,2,0,0,0,0
20200318,3,0,0,0,0,0
20200319,3,0,0,0,0,0
20200320,10,7,0,0,0,0
20200321,10,0,0,0,0,0
20200322,10,0,0,0,0,0
20200323,15,5,0,0,0,0
20200324,15,0,0,0,0,0
20200325,15,0,0,0,0,0
20200326,26,11,0,0,0,0
20200327,35,9,0,0,0,0
20200328,55,20,0,0,0,0
20200329,56,1,0,0,0,0
20200330,65,9,0,0,0,0
20200331,69,4,0,0,0,0
20200401,69,0,0,0,0,0
20200402,69,0,0,0,0,0
20200403,81,12,0,0,0,0
20200404,94,13,0,0,1,1
20200405,97,3,0,0,1,0
20200406,102,5,0,0,1,0
20200407,102,0,0,0,1,0
