Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200312,1,1,0,0,0,0
20200313,1,0,0,0,0,0
20200314,1,0,0,0,0,0
20200315,3,2,0,0,0,0
20200316,3,0,0,0,0,0
20200317,5,2,1,1,0,0
20200318,5,0,1,0,0,0
20200319,8,3,1,0,0,0
20200320,13,5,1,0,0,0
20200321,13,0,1,0,0,0
20200322,24,11,1,0,0,0
20200323,24,0,1,0,0,0
20200324,70,46,3,2,0,0
20200325,70,0,3,0,0,0
20200326,93,23,3,0,0,0
20200327,98,5,3,0,0,0
20200328,98,0,3,0,0,0
20200329,160,62,4,1,1,1
20200330,161,1,6,2,1,0
20200331,171,10,7,1,1,0
20200401,180,9,9,2,1,0
20200402,178,-2,15,6,1,0
20200403,178,0,15,0,1,0
20200404,219,41,25,10,1,0
20200405,221,2,37,12,3,2
20200406,279,58,41,4,3,0
20200407,305,26,41,0,3,0
