Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200306,1,1,0,0,0,0
20200307,2,1,0,0,0,0
20200308,2,0,0,0,0,0
20200309,2,0,0,0,0,0
20200310,2,0,0,0,0,0
20200311,2,0,0,0,0,0
20200312,2,0,0,0,0,0
20200313,2,0,0,0,0,0
20200314,2,0,0,0,0,0
20200315,3,1,0,0,0,0
20200316,3,0,0,0,0,0
20200317,5,2,0,0,0,0
20200318,5,0,0,0,0,0
20200319,13,8,0,0,0,0
20200320,21,8,0,0,0,0
20200321,27,6,0,0,0,0
20200322,40,13,0,0,0,0
20200323,56,16,0,0,0,0
20200324,71,15,0,0,1,1
20200325,68,-3,3,3,1,0
20200326,71,3,3,0,1,0
20200327,84,13,2,-1,2,1
20200328,95,11,2,0,2,0
20200329,134,39,3,1,2,0
20200330,137,3,3,0,2,0
20200331,184,47,3,0,6,4
20200401,224,40,3,0,6,0
20200402,288,64,10,7,8,2
20200403,484,196,17,7,8,0
20200404,529,45,17,0,9,1
20200405,624,95,17,0,9,0
20200406,632,8,17,0,9,0
20200407,614,-18,62,45,9,0
