Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200311,1,1,0,0,0,0
20200312,1,0,0,0,0,0
20200313,1,0,0,0,0,0
20200314,2,1,0,0,0,0
20200315,2,0,0,0,0,0
20200316,2,0,0,0,0,0
20200317,3,1,0,0,0,0
20200318,3,0,0,0,0,0
20200319,14,11,0,0,0,0
20200320,18,4,0,0,0,0
20200321,18,0,0,0,0,0
20200322,28,10,0,0,2,2
20200323,34,6,0,0,2,0
20200324,43,9,0,0,2,0
20200325,46,3,0,0,2,0
20200326,45,-1,2,2,4,2
20200327,47,2,2,0,5,1
20200328,56,9,3,1,6,1
20200329,70,14,3,0,8,2
20200330,70,0,3,0,8,0
20200331,98,28,3,0,8,0
20200401,109,11,3,0,11,3
20200402,118,9,3,0,13,2
20200403,118,0,3,0,13,0
20200404,133,15,3,0,18,5
20200405,133,0,3,0,18,0
20200406,140,7,3,0,18,0
20200407,153,13,9,6,18,0
