Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,3,2,0,0,0,0
20200320,3,0,0,0,0,0
20200321,4,1,0,0,0,0
20200322,4,0,0,0,0,0
20200323,4,0,0,0,0,0
20200324,4,0,0,0,0,0
20200325,4,0,0,0,0,0
20200326,4,0,0,0,0,0
20200327,19,15,0,0,0,0
20200328,19,0,0,0,0,0
20200329,19,0,0,0,0,0
20200330,19,0,0,0,0,0
20200331,17,-2,2,2,3,3
20200401,17,0,2,0,3,0
20200402,36,19,2,0,3,0
20200403,36,0,2,0,3,0
20200404,38,2,2,0,5,2
20200405,38,0,2,0,5,0
20200406,42,4,2,0,5,0
20200407,50,8,5,3,5,0
