Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200307,1,1,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,3,2,0,0,0,0
20200311,3,0,0,0,0,0
20200312,9,6,0,0,0,0
20200313,9,0,0,0,0,0
20200314,16,7,0,0,0,0
20200315,24,8,0,0,0,0
20200316,24,0,0,0,0,0
20200317,45,21,0,0,0,0
20200318,45,0,0,0,0,0
20200319,102,57,0,0,0,0
20200320,128,26,0,0,0,0
20200321,158,30,0,0,0,0
20200322,209,51,0,0,1,1
20200323,233,24,0,0,2,1
20200324,274,41,0,0,3,1
20200325,461,187,6,6,3,0
20200326,460,-1,6,0,4,1
20200327,523,63,10,4,6,2
20200328,592,69,10,0,6,0
20200329,592,0,10,0,6,0
20200330,776,184,10,0,12,6
20200331,859,83,31,21,16,4
20200401,859,0,31,0,16,0
20200402,1111,252,31,0,19,3
20200403,1211,100,31,0,25,6
20200404,929,-282,85,54,32,7
20200405,1365,436,85,0,35,3
20200406,1448,83,85,0,46,11
20200407,1645,197,85,0,50,4
