Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200321,1,1,0,0,0,0
20200322,3,2,0,0,0,0
20200323,3,0,0,0,0,0
20200324,3,0,0,0,0,0
20200325,2,-1,1,1,0,0
20200326,1,-1,1,0,1,1
20200327,1,0,1,0,1,0
20200328,3,2,1,0,1,0
20200329,3,0,1,0,1,0
20200330,3,0,1,0,1,0
20200331,3,0,1,0,1,0
20200401,3,0,1,0,1,0
20200402,3,0,1,0,1,0
20200403,3,0,1,0,1,0
20200404,5,2,1,0,1,0
20200405,5,0,1,0,1,0
20200406,5,0,1,0,1,0
20200407,5,0,1,0,1,0
