Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,5,5,0,0,0,0
20200309,9,4,0,0,0,0
20200310,9,0,0,0,0,0
20200311,13,4,0,0,0,0
20200312,13,0,0,0,0,0
20200313,22,9,0,0,0,0
20200314,23,1,0,0,0,0
20200315,23,0,0,0,0,0
20200316,23,0,0,0,0,0
20200317,41,18,0,0,0,0
20200318,41,0,0,0,0,0
20200319,86,45,0,0,1,1
20200320,111,25,0,0,2,1
20200321,111,0,0,0,2,0
20200322,115,4,0,0,2,0
20200323,156,41,0,0,2,0
20200324,156,0,0,0,2,0
20200325,199,43,0,0,2,0
20200326,229,30,0,0,2,0
20200327,261,32,0,0,2,0
20200328,293,32,0,0,2,0
20200329,293,0,0,0,2,0
20200330,293,0,0,0,2,0
20200331,345,52,0,0,2,0
20200401,345,0,0,0,2,0
20200402,345,0,0,0,2,0
20200403,373,28,0,0,2,0
20200404,394,21,0,0,2,0
20200405,414,20,0,0,2,0
20200406,433,19,0,0,2,0
20200407,452,19,0,0,2,0
