Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200313,3,3,0,0,0,0
20200314,4,1,0,0,0,0
20200315,4,0,0,0,0,0
20200316,4,0,0,0,0,0
20200317,5,1,0,0,0,0
20200318,5,0,0,0,0,0
20200319,15,10,0,0,1,1
20200320,15,0,0,0,1,0
20200321,20,5,0,0,1,0
20200322,20,0,0,0,1,0
20200323,20,0,0,0,1,0
20200324,39,19,0,0,1,0
20200325,47,8,0,0,1,0
20200326,56,9,0,0,1,0
20200327,66,10,0,0,1,0
20200328,78,12,0,0,2,1
20200329,116,38,0,0,3,1
20200330,116,0,0,0,3,0
20200331,166,50,0,0,4,1
20200401,180,14,0,0,6,2
20200402,206,26,0,0,6,0
20200403,227,21,0,0,6,0
20200404,263,36,0,0,6,0
20200405,282,19,0,0,6,0
20200406,312,30,0,0,8,2
20200407,341,29,0,0,9,1
