Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,2,2,0,0,0,0
20200317,3,1,0,0,0,0
20200318,3,0,0,0,0,0
20200319,3,0,0,0,0,0
20200320,3,0,0,0,0,0
20200321,3,0,0,0,0,0
20200322,2,-1,0,0,1,1
20200323,2,0,0,0,1,0
20200324,3,1,0,0,1,0
20200325,5,2,0,0,1,0
20200326,5,0,0,0,1,0
20200327,6,1,0,0,1,0
20200328,6,0,0,0,1,0
20200329,6,0,0,0,1,0
20200330,6,0,0,0,1,0
20200331,10,4,0,0,1,0
20200401,10,0,0,0,1,0
20200402,10,0,0,0,1,0
20200403,10,0,0,0,1,0
20200404,10,0,0,0,1,0
20200405,10,0,0,0,1,0
20200406,10,0,0,0,1,0
20200407,12,2,0,0,1,0
