Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,0,0,0,0,1,1
20200317,0,0,0,0,1,0
20200318,0,0,0,0,1,0
20200319,0,0,0,0,1,0
20200320,2,2,0,0,1,0
20200321,2,0,0,0,1,0
20200322,2,0,0,0,1,0
20200323,2,0,0,0,1,0
20200324,4,2,0,0,1,0
20200325,4,0,0,0,1,0
20200326,7,3,0,0,1,0
20200327,7,0,0,0,1,0
20200328,7,0,0,0,1,0
20200329,7,0,0,0,1,0
20200330,7,0,0,0,1,0
20200331,11,4,0,0,1,0
20200401,11,0,0,0,1,0
20200402,13,2,0,0,1,0
20200403,21,8,0,0,1,0
20200404,27,6,0,0,1,0
20200405,27,0,0,0,1,0
20200406,34,7,0,0,1,0
20200407,38,4,0,0,1,0
