Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200310,2,2,0,0,0,0
20200311,2,0,0,0,0,0
20200312,6,4,0,0,0,0
20200313,6,0,0,0,0,0
20200314,14,8,0,0,0,0
20200315,21,7,0,0,0,0
20200316,33,12,0,0,0,0
20200317,33,0,0,0,0,0
20200318,33,0,0,0,0,0
20200319,67,34,0,0,0,0
20200320,75,8,0,0,0,0
20200321,75,0,0,0,0,0
20200322,94,19,0,0,1,1
20200323,115,21,0,0,1,0
20200324,123,8,0,0,1,0
20200325,129,6,0,0,3,2
20200326,129,0,0,0,3,0
20200327,157,28,0,0,5,2
20200328,174,17,0,0,5,0
20200329,208,34,0,0,6,1
20200330,224,16,0,0,6,0
20200331,255,31,0,0,7,1
20200401,311,56,0,0,9,2
20200402,346,35,0,0,10,1
20200403,386,40,0,0,10,0
20200404,415,29,0,0,11,1
20200405,435,20,0,0,11,0
20200406,451,16,0,0,14,3
20200407,481,30,0,0,14,0
