Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200302,3,3,0,0,0,0
20200303,3,0,0,0,0,0
20200304,5,2,0,0,0,0
20200305,5,0,0,0,0,0
20200306,12,7,0,0,0,0
20200307,12,0,0,0,0,0
20200308,26,14,0,0,0,0
20200309,32,6,0,0,0,0
20200310,38,6,0,0,0,0
20200311,61,23,0,0,0,0
20200312,94,33,0,0,0,0
20200313,116,22,0,0,0,0
20200314,150,34,0,0,0,0
20200315,214,64,0,0,0,0
20200316,298,84,0,0,0,0
20200317,380,82,3,3,0,0
20200318,431,51,3,0,0,0
20200319,691,260,3,0,0,0
20200320,829,138,4,1,0,0
20200321,989,160,6,2,0,0
20200322,1113,124,6,0,1,1
20200323,1228,115,7,1,1,0
20200324,1228,0,7,0,1,0
20200325,1634,406,10,3,10,9
20200326,1905,271,10,0,10,0
20200327,2259,354,11,1,9,-1
20200328,2600,341,11,0,11,2
20200329,2778,178,11,0,16,5
20200330,2928,150,25,14,23,7
20200331,3181,253,45,20,31,8
20200401,3408,227,61,16,39,8
20200402,3747,339,67,6,44,5
20200403,3980,233,67,0,44,0
20200404,4225,245,78,11,59,15
20200405,4380,155,96,18,67,8
20200406,4536,156,121,25,78,11
20200407,4562,26,172,51,88,10
