Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200128,1,1,0,0,0,0
20200129,4,3,0,0,0,0
20200130,4,0,0,0,0,0
20200131,5,1,0,0,0,0
20200201,7,2,0,0,0,0
20200202,8,1,0,0,0,0
20200203,10,2,0,0,0,0
20200204,12,2,0,0,0,0
20200205,12,0,0,0,0,0
20200206,12,0,0,0,0,0
20200207,13,1,0,0,0,0
20200208,14,1,0,0,0,0
20200209,14,0,0,0,0,0
20200210,14,0,0,0,0,0
20200211,14,0,0,0,0,0
20200212,16,2,0,0,0,0
20200213,16,0,0,0,0,0
20200214,16,0,0,0,0,0
20200215,16,0,0,0,0,0
20200216,16,0,0,0,0,0
20200217,16,0,0,0,0,0
20200218,16,0,0,0,0,0
20200219,16,0,0,0,0,0
20200220,16,0,0,0,0,0
20200221,16,0,0,0,0,0
20200222,16,0,0,0,0,0
20200223,16,0,0,0,0,0
20200224,16,0,0,0,0,0
20200225,16,0,0,0,0,0
20200226,18,2,0,0,0,0
20200227,21,3,0,0,0,0
20200228,26,5,0,0,0,0
20200229,57,31,0,0,0,0
20200301,57,0,0,0,0,0
20200302,129,72,0,0,0,0
20200303,157,28,0,0,0,0
20200304,196,39,0,0,0,0
20200305,262,66,0,0,0,0
20200306,534,272,0,0,0,0
20200307,639,105,0,0,0,0
20200308,795,156,0,0,0,0
20200309,1112,317,0,0,0,0
20200310,1137,25,0,0,2,2
20200311,1294,157,0,0,2,0
20200312,1564,270,0,0,3,1
20200313,2363,799,0,0,6,3
20200314,3056,693,0,0,6,0
20200315,3773,717,14,14,8,2
20200316,4812,1039,14,0,12,4
20200317,5864,1052,135,121,13,1
20200318,7008,1144,135,0,13,0
20200319,15141,8133,135,0,44,31
20200320,19600,4459,180,45,68,24
20200321,21809,2209,209,29,83,15
20200322,24949,3140,239,30,91,8
20200323,28741,3792,422,183,119,28
20200324,29542,801,3290,2868,159,40
20200325,32266,2724,3290,0,187,28
20200326,37271,5005,5678,2388,262,75
20200327,37271,0,5678,0,262,0
20200328,45492,8221,6932,1254,378,116
20200329,49146,3654,8481,1549,474,96
20200330,49146,0,8481,0,474,0
20200331,52849,3703,8481,0,583,109
20200401,58153,5304,8481,0,732,149
20200402,64169,6016,8481,0,872,140
20200403,70198,6029,8481,0,1017,145
20200404,76139,5941,8481,0,1158,141
20200405,81891,5752,8481,0,1342,184
20200406,85476,3585,8481,0,1434,92
20200407,89137,3661,8481,0,1607,173
