Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200319,1,1,0,0,0,0
20200320,1,0,0,0,0,0
20200321,1,0,0,0,0,0
20200322,1,0,0,0,0,0
20200323,1,0,0,0,0,0
20200324,3,2,0,0,0,0
20200325,11,8,0,0,0,0
20200326,12,1,0,0,0,0
20200327,12,0,0,0,0,0
20200328,14,2,0,0,0,0
20200329,18,4,0,0,0,0
20200330,25,7,0,0,0,0
20200331,30,5,0,0,0,0
20200401,33,3,0,0,0,0
20200402,40,7,0,0,0,0
20200403,41,1,8,8,0,0
20200404,42,1,8,0,0,0
20200405,50,8,9,1,0,0
20200406,81,31,9,0,0,0
20200407,103,22,18,9,0,0
