Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,1,0,0,0,0,0
20200229,2,1,0,0,0,0
20200301,3,1,0,0,0,0
20200302,4,1,0,0,0,0
20200303,5,1,0,0,0,0
20200304,8,3,0,0,0,0
20200305,10,2,0,0,0,0
20200306,18,8,0,0,0,0
20200307,23,5,0,0,0,0
20200308,31,8,0,0,0,0
20200309,36,5,0,0,0,0
20200310,90,54,0,0,0,0
20200311,262,172,0,0,0,0
20200312,615,353,0,0,0,0
20200313,674,59,0,0,0,0
20200314,801,127,0,0,0,0
20200315,826,25,1,1,0,0
20200316,896,70,1,0,1,1
20200317,955,59,1,0,4,3
20200318,972,17,1,0,4,0
20200319,1144,172,1,0,6,2
20200320,1245,101,1,0,9,3
20200321,1312,67,1,0,13,4
20200322,1381,69,1,0,13,0
20200323,1435,54,1,0,24,11
20200324,1558,123,1,0,32,8
20200325,1689,131,1,0,34,2
20200326,1835,146,1,0,41,7
20200327,1993,158,1,0,52,11
20200328,2135,142,1,0,65,13
20200329,2322,187,1,0,72,7
20200330,2499,177,1,0,77,5
20200331,2769,270,1,0,90,13
20200401,2109,-660,894,893,104,14
20200402,2369,260,894,0,123,19
20200403,2724,355,894,0,139,16
20200404,3022,298,894,0,161,22
20200405,3296,274,894,0,179,18
20200406,3600,304,894,0,187,8
20200407,3974,374,894,0,203,16
