Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200302,1,1,0,0,0,0
20200303,1,0,0,0,0,0
20200304,1,0,0,0,0,0
20200305,1,0,0,0,0,0
20200306,1,0,0,0,0,0
20200307,1,0,0,0,0,0
20200308,1,0,0,0,0,0
20200309,1,0,0,0,0,0
20200310,5,4,0,0,0,0
20200311,5,0,0,0,0,0
20200312,5,0,0,0,0,0
20200313,5,0,0,0,0,0
20200314,5,0,0,0,0,0
20200315,5,0,0,0,0,0
20200316,5,0,0,0,0,0
20200317,20,15,0,0,1,1
20200318,20,0,0,0,1,0
20200319,20,0,0,0,1,0
20200320,32,12,0,0,2,1
20200321,70,38,0,0,2,0
20200322,70,0,0,0,2,0
20200323,70,0,0,0,2,0
20200324,242,172,0,0,3,1
20200325,306,64,0,0,6,3
20200326,382,76,0,0,10,4
20200327,478,96,0,0,10,0
20200328,561,83,0,0,20,10
20200329,561,0,0,0,20,0
20200330,561,0,0,0,20,0
20200331,859,298,0,0,42,22
20200401,1058,199,0,0,51,9
20200402,1227,169,0,0,57,6
20200403,1320,93,0,0,60,3
20200404,1420,100,0,0,68,8
20200405,1420,0,0,0,68,0
20200406,1420,0,0,0,68,0
20200407,1742,322,0,0,86,18
