Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200226,1,1,0,0,0,0
20200227,1,0,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,5,4,0,0,0,0
20200304,5,0,0,0,0,0
20200305,12,7,0,0,0,0
20200306,12,0,0,0,0,0
20200307,17,5,0,0,0,0
20200308,17,0,0,0,0,0
20200309,20,3,0,0,0,0
20200310,20,0,0,0,0,0
20200311,20,0,0,0,0,0
20200312,24,4,0,0,1,1
20200313,24,0,0,0,1,0
20200314,24,0,0,0,2,1
20200315,24,0,10,10,3,1
20200316,36,12,10,0,3,0
20200317,46,10,10,0,4,1
20200318,46,0,10,0,4,0
20200319,73,27,12,2,5,1
20200320,71,-2,12,0,7,2
20200321,112,41,12,0,15,8
20200322,172,60,12,0,17,2
20200323,201,29,12,0,17,0
20200324,233,32,12,0,19,2
20200325,269,36,12,0,21,2
20200326,330,61,12,0,25,4
20200327,371,41,12,0,26,1
20200328,354,-17,29,17,26,0
20200329,451,97,29,0,31,5
20200330,512,61,37,8,35,4
20200331,626,114,46,9,44,9
20200401,731,105,58,12,58,14
20200402,845,114,58,0,83,25
20200403,1004,159,62,4,105,22
20200404,1059,55,62,0,130,25
20200405,1059,0,62,0,130,0
20200406,1059,0,62,0,130,0
20200407,1137,78,113,51,173,43
