Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200301,1,1,0,0,0,0
20200302,1,0,0,0,0,0
20200303,6,5,0,0,0,0
20200304,7,1,0,0,0,0
20200305,7,0,0,0,0,0
20200306,13,6,0,0,0,0
20200307,14,1,0,0,0,0
20200308,14,0,0,0,0,0
20200309,15,1,0,0,0,0
20200310,15,0,0,0,0,0
20200311,15,0,0,0,0,0
20200312,17,2,0,0,0,0
20200313,17,0,0,0,0,0
20200314,23,6,0,0,0,0
20200315,23,0,0,0,0,0
20200316,35,12,0,0,2,2
20200317,56,21,0,0,2,0
20200318,56,0,0,0,2,0
20200319,258,202,0,0,2,0
20200320,362,104,0,0,5,3
20200321,362,0,0,0,5,0
20200322,499,137,0,0,7,2
20200323,525,26,0,0,7,0
20200324,775,250,0,0,15,8
20200325,1022,247,0,0,27,12
20200326,1348,326,0,0,34,7
20200327,1348,0,0,0,34,0
20200328,1559,211,0,0,36,2
20200329,1775,216,0,0,48,12
20200330,1833,58,0,0,57,9
20200331,1902,69,0,0,60,3
20200401,2655,753,0,0,93,33
20200402,2602,-53,0,0,146,53
20200403,3017,415,0,0,146,0
20200404,3017,0,0,0,146,0
20200405,3293,276,0,0,172,26
20200406,3567,274,0,0,180,8
20200407,3556,-11,0,0,191,11
