Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200215,1,1,0,0,0,0
20200216,1,0,0,0,0,0
20200217,1,0,0,0,0,0
20200218,1,0,0,0,0,0
20200219,1,0,0,0,0,0
20200220,1,0,0,0,0,0
20200221,1,0,0,0,0,0
20200222,1,0,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,1,0,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,2,1,0,0,0,0
20200303,2,0,0,0,0,0
20200304,2,0,0,0,0,0
20200305,2,0,0,0,0,0
20200306,3,1,0,0,0,0
20200307,3,0,0,0,0,0
20200308,48,45,0,0,0,0
20200309,54,6,0,0,1,1
20200310,58,4,0,0,1,0
20200311,58,0,0,0,1,0
20200312,66,8,0,0,1,0
20200313,66,0,0,0,1,0
20200314,91,25,0,0,2,1
20200315,70,-21,21,21,2,0
20200316,98,28,26,5,2,0
20200317,136,38,26,0,4,2
20200318,136,0,26,0,4,0
20200319,222,86,28,2,6,2
20200320,238,16,39,11,8,2
20200321,243,5,41,2,10,2
20200322,257,14,56,15,14,4
20200323,279,22,68,12,19,5
20200324,302,23,80,12,20,1
20200325,340,38,95,15,21,1
20200326,369,29,102,7,24,3
20200327,390,21,116,14,30,6
20200328,419,29,121,5,36,6
20200329,437,18,132,11,40,4
20200330,465,28,150,18,41,1
20200331,514,49,150,0,46,5
20200401,548,34,179,29,52,6
20200402,606,58,201,22,58,6
20200403,726,120,201,0,58,0
20200404,758,32,241,40,71,13
20200405,848,90,247,6,78,7
20200406,978,130,259,12,85,7
20200407,1080,102,276,17,94,9
