Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200201,1,1,0,0,0,0
20200202,1,0,0,0,0,0
20200203,1,0,0,0,0,0
20200204,1,0,0,0,0,0
20200205,1,0,0,0,0,0
20200206,1,0,0,0,0,0
20200207,1,0,0,0,0,0
20200208,1,0,0,0,0,0
20200209,1,0,0,0,0,0
20200210,2,1,0,0,0,0
20200211,2,0,0,0,0,0
20200212,2,0,0,0,0,0
20200213,2,0,0,0,0,0
20200214,2,0,0,0,0,0
20200215,2,0,0,0,0,0
20200216,2,0,0,0,0,0
20200217,2,0,0,0,0,0
20200218,2,0,0,0,0,0
20200219,2,0,0,0,0,0
20200220,2,0,0,0,0,0
20200221,2,0,0,0,0,0
20200222,2,0,0,0,0,0
20200223,2,0,0,0,0,0
20200224,2,0,0,0,0,0
20200225,2,0,0,0,0,0
20200226,2,0,0,0,0,0
20200227,12,10,0,0,0,0
20200228,25,13,0,0,0,0
20200229,32,7,0,0,0,0
20200301,45,13,0,0,0,0
20200302,45,0,0,0,0,0
20200303,114,69,0,0,0,0
20200304,151,37,0,0,0,0
20200305,197,46,0,0,1,1
20200306,254,57,0,0,3,2
20200307,369,115,0,0,5,2
20200308,425,56,0,0,5,0
20200309,579,154,0,0,10,5
20200310,996,417,0,0,28,18
20200311,1603,607,0,0,36,8
20200312,2092,489,0,0,48,12
20200313,2881,789,0,0,84,36
20200314,4111,1230,0,0,120,36
20200315,5046,935,571,571,136,16
20200316,6894,1848,571,0,288,152
20200317,7854,960,1028,457,309,21
20200318,9606,1752,1081,53,491,182
20200319,15299,5693,1081,0,767,276
20200320,17390,2091,1588,507,1002,235
20200321,21475,4085,2125,537,1326,324
20200322,24277,2802,2575,450,1720,394
20200323,27552,3275,3355,780,2182,462
20200324,35273,7721,3794,439,2991,809
20200325,38809,3536,5367,1573,3434,443
20200326,45084,6275,7015,1648,4089,655
20200327,52186,7102,7015,0,4858,769
20200328,54273,2087,12285,5270,5690,832
20200329,59984,5711,12285,0,6528,838
20200330,63146,3162,14709,2424,7340,812
20200331,71519,8373,14709,0,8189,849
20200401,70436,-1083,22647,7938,9053,864
20200402,73492,3056,26743,4096,10003,950
20200403,76262,2770,30513,3770,10935,932
20200404,78773,2511,34219,3706,11744,809
20200405,80261,1488,38080,3861,12418,674
20200406,83897,3636,38080,0,13055,637
20200407,83504,-393,43208,5128,13798,743
