Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,1,0,0,0,0,0
20200229,1,0,0,0,0,0
20200301,1,0,0,0,0,0
20200302,1,0,0,0,0,0
20200303,1,0,0,0,0,0
20200304,2,1,0,0,0,0
20200305,2,0,0,0,0,0
20200306,3,1,0,0,0,0
20200307,10,7,0,0,0,0
20200308,10,0,0,0,0,0
20200309,10,0,0,0,0,0
20200310,10,0,0,0,0,0
20200311,13,3,0,0,0,0
20200312,13,0,0,0,0,0
20200313,13,0,0,0,0,0
20200314,79,66,0,0,0,0
20200315,79,0,0,0,0,0
20200316,205,126,0,0,0,0
20200317,205,0,0,0,0,0
20200318,225,20,0,0,0,0
20200319,267,42,0,0,0,0
20200320,283,16,0,0,0,0
20200321,306,23,0,0,0,0
20200322,326,20,0,0,0,0
20200323,352,26,0,0,0,0
20200324,369,17,0,0,0,0
20200325,399,30,4,4,1,1
20200326,533,134,4,0,1,0
20200327,563,30,11,7,1,0
20200328,619,56,20,9,1,0
20200329,656,37,20,0,3,2
20200330,692,36,20,0,3,0
20200331,721,29,20,0,4,1
20200401,754,33,20,0,5,1
20200402,827,73,20,0,11,6
20200403,901,74,48,28,12,1
20200404,957,56,48,0,13,1
20200405,1034,77,48,0,15,2
20200406,1045,11,48,0,15,0
20200407,1059,14,69,21,21,6
