Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200314,1,1,0,0,0,0
20200315,1,0,0,0,0,0
20200316,1,0,0,0,0,0
20200317,5,4,0,0,0,0
20200318,5,0,0,0,0,0
20200319,9,4,0,0,0,0
20200320,9,0,0,0,0,0
20200321,9,0,0,0,0,0
20200322,7,-2,4,4,0,0
20200323,7,0,4,0,0,0
20200324,8,1,4,0,0,0
20200325,8,0,4,0,0,0
20200326,8,0,4,0,0,0
20200327,12,4,4,0,0,0
20200328,12,0,4,0,0,0
20200329,18,6,3,-1,0,0
20200330,20,2,3,0,0,0
20200331,22,2,3,0,0,0
20200401,27,5,2,-1,0,0
20200402,36,9,2,0,3,3
20200403,30,-6,2,0,3,0
20200404,34,4,4,2,0,-3
20200405,39,5,4,0,0,0
20200406,38,-1,4,0,2,2
20200407,46,8,4,0,2,0
