Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200130,1,1,0,0,0,0
20200131,1,0,0,0,0,0
20200201,1,0,0,0,0,0
20200202,1,0,0,0,0,0
20200203,1,0,0,0,0,0
20200204,1,0,0,0,0,0
20200205,1,0,0,0,0,0
20200206,1,0,0,0,0,0
20200207,1,0,0,0,0,0
20200208,1,0,0,0,0,0
20200209,1,0,0,0,0,0
20200210,1,0,0,0,0,0
20200211,1,0,0,0,0,0
20200212,1,0,0,0,0,0
20200213,1,0,0,0,0,0
20200214,1,0,0,0,0,0
20200215,1,0,0,0,0,0
20200216,1,0,0,0,0,0
20200217,1,0,0,0,0,0
20200218,1,0,0,0,0,0
20200219,1,0,0,0,0,0
20200220,1,0,0,0,0,0
20200221,1,0,0,0,0,0
20200222,1,0,0,0,0,0
20200223,1,0,0,0,0,0
20200224,1,0,0,0,0,0
20200225,1,0,0,0,0,0
20200226,1,0,0,0,0,0
20200227,2,1,0,0,0,0
20200228,2,0,0,0,0,0
20200229,2,0,0,0,0,0
20200301,2,0,0,0,0,0
20200302,6,4,0,0,0,0
20200303,7,1,0,0,0,0
20200304,7,0,0,0,0,0
20200305,7,0,0,0,0,0
20200306,12,5,0,0,0,0
20200307,19,7,0,0,0,0
20200308,19,0,0,0,0,0
20200309,30,11,0,0,0,0
20200310,40,10,0,0,0,0
20200311,40,0,0,0,0,0
20200312,40,0,0,0,0,0
20200313,109,69,0,0,0,0
20200314,109,0,0,0,0,0
20200315,209,100,1,1,0,0
20200316,266,57,1,0,0,0
20200317,271,5,1,0,0,0
20200318,318,47,1,0,0,0
20200319,399,81,1,0,0,0
20200320,449,50,1,0,0,0
20200321,510,61,10,9,1,1
20200322,615,105,10,0,1,0
20200323,689,74,10,0,1,0
20200324,781,92,10,0,1,0
20200325,867,86,10,0,3,2
20200326,867,0,10,0,3,0
20200327,1008,141,10,0,7,4
20200328,1144,136,10,0,9,2
20200329,1197,53,10,0,11,2
20200330,1290,93,10,0,13,2
20200331,1357,67,10,0,17,4
20200401,1419,62,10,0,17,0
20200402,1489,70,10,0,19,2
20200403,1585,96,10,0,20,1
20200404,1847,262,10,0,25,5
20200405,1889,42,10,0,28,3
20200406,2138,249,10,0,28,0
20200407,2264,126,10,0,34,6
