Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200308,1,1,0,0,0,0
20200309,2,1,0,0,0,0
20200310,2,0,0,0,0,0
20200311,2,0,0,0,0,0
20200312,2,0,0,0,0,0
20200313,2,0,0,0,0,0
20200314,3,1,0,0,0,0
20200315,9,6,0,0,0,0
20200316,11,2,0,0,0,0
20200317,47,36,0,0,0,0
20200318,47,0,0,0,0,0
20200319,47,0,0,0,0,0
20200320,72,25,0,0,0,0
20200321,80,8,0,0,0,0
20200322,92,12,0,0,0,0
20200323,115,23,0,0,0,0
20200324,118,3,0,0,0,0
20200325,122,4,0,0,0,0
20200326,132,10,0,0,0,0
20200327,140,8,0,0,0,0
20200328,144,4,0,0,0,0
20200329,155,11,0,0,0,0
20200330,168,13,0,0,0,0
20200331,168,0,0,0,0,0
20200401,169,1,0,0,0,0
20200402,173,4,0,0,0,0
20200403,177,4,0,0,0,0
20200404,179,2,0,0,0,0
20200405,181,2,0,0,0,0
20200406,181,0,0,0,0,0
20200407,181,0,0,0,0,0
