Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200125,3,3,0,0,0,0
20200126,3,0,0,0,0,0
20200127,3,0,0,0,0,0
20200128,3,0,0,0,0,0
20200129,4,1,0,0,0,0
20200130,5,1,0,0,0,0
20200131,6,1,0,0,0,0
20200201,6,0,0,0,0,0
20200202,6,0,0,0,0,0
20200203,6,0,0,0,0,0
20200204,6,0,0,0,0,0
20200205,6,0,0,0,0,0
20200206,6,0,0,0,0,0
20200207,6,0,0,0,0,0
20200208,6,0,0,0,0,0
20200209,11,5,0,0,0,0
20200210,11,0,0,0,0,0
20200211,11,0,0,0,0,0
20200212,11,0,0,0,0,0
20200213,11,0,0,0,0,0
20200214,11,0,0,0,0,0
20200215,11,0,0,0,0,0
20200216,11,0,0,0,1,1
20200217,11,0,0,0,1,0
20200218,11,0,0,0,1,0
20200219,11,0,0,0,1,0
20200220,11,0,0,0,1,0
20200221,11,0,0,0,1,0
20200222,11,0,0,0,1,0
20200223,11,0,0,0,1,0
20200224,11,0,0,0,1,0
20200225,11,0,0,0,1,0
20200226,11,0,0,0,1,0
20200227,16,5,0,0,2,1
20200228,36,20,0,0,2,0
20200229,55,19,0,0,2,0
20200301,98,43,0,0,2,0
20200302,98,0,0,0,2,0
20200303,188,90,0,0,3,1
20200304,208,20,0,0,4,1
20200305,278,70,0,0,4,0
20200306,414,136,0,0,6,2
20200307,604,190,0,0,9,3
20200308,696,92,0,0,10,1
20200309,1097,401,0,0,19,9
20200310,1372,275,0,0,30,11
20200311,1741,369,0,0,33,3
20200312,2221,480,0,0,48,15
20200313,2799,578,0,0,61,13
20200314,3561,762,0,0,79,18
20200315,4342,781,36,36,91,12
20200316,5217,875,36,0,127,36
20200317,6389,1172,36,0,148,21
20200318,6875,486,602,566,175,27
20200319,9323,2448,1300,698,372,197
20200320,10575,1252,1587,287,450,78
20200321,12310,1735,1587,0,562,112
20200322,13757,1447,1587,0,674,112
20200323,16796,3039,2200,613,860,186
20200324,17999,1203,3201,1001,1100,240
20200325,20002,2003,3900,699,1331,231
20200326,22511,2509,4948,1048,1696,365
20200327,25269,2758,5700,752,1995,299
20200328,29561,4292,5700,0,2314,319
20200329,30436,875,7132,1432,2606,292
20200330,33602,3166,7924,792,3024,418
20200331,39161,5559,9444,1520,3523,499
20200401,42022,2861,10935,1491,4032,509
20200402,42174,152,12428,1493,4503,471
20200403,47407,5233,12428,0,4503,0
20200404,45607,-1800,15438,3010,7560,3057
20200405,46217,610,16183,745,8078,518
20200406,50129,3912,16183,0,8078,0
20200407,48502,-1627,19337,3154,10328,2250
