Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,3,2,0,0,0,0
20200320,3,0,0,0,1,1
20200321,4,1,0,0,1,0
20200322,4,0,0,0,1,0
20200323,5,1,0,0,1,0
20200324,5,0,0,0,1,0
20200325,5,0,0,0,1,0
20200326,6,1,0,0,1,0
20200327,6,0,0,0,1,0
20200328,6,0,0,0,1,0
20200329,6,0,0,0,1,0
20200330,15,9,0,0,1,0
20200331,17,2,0,0,1,0
20200401,17,0,0,0,1,0
20200402,17,0,0,0,1,0
20200403,20,3,0,0,1,0
20200404,19,-1,1,1,1,0
20200405,22,3,1,0,1,0
20200406,28,6,1,0,1,0
20200407,31,3,1,0,1,0
