Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200201,2,2,0,0,0,0
20200202,2,0,0,0,0,0
20200203,2,0,0,0,0,0
20200204,2,0,0,0,0,0
20200205,2,0,0,0,0,0
20200206,2,0,0,0,0,0
20200207,3,1,0,0,0,0
20200208,3,0,0,0,0,0
20200209,3,0,0,0,0,0
20200210,4,1,0,0,0,0
20200211,8,4,0,0,0,0
20200212,8,0,0,0,0,0
20200213,9,1,0,0,0,0
20200214,9,0,0,0,0,0
20200215,9,0,0,0,0,0
20200216,9,0,0,0,0,0
20200217,9,0,0,0,0,0
20200218,9,0,0,0,0,0
20200219,9,0,0,0,0,0
20200220,9,0,0,0,0,0
20200221,9,0,0,0,0,0
20200222,9,0,0,0,0,0
20200223,9,0,0,0,0,0
20200224,9,0,0,0,0,0
20200225,13,4,0,0,0,0
20200226,13,0,0,0,0,0
20200227,13,0,0,0,0,0
20200228,16,3,0,0,0,0
20200229,20,4,0,0,0,0
20200301,23,3,0,0,0,0
20200302,36,13,0,0,0,0
20200303,39,3,0,0,0,0
20200304,51,12,0,0,0,0
20200305,89,38,0,0,0,0
20200306,118,29,0,0,0,0
20200307,166,48,0,0,1,1
20200308,208,42,0,0,2,1
20200309,275,67,0,0,2,0
20200310,320,45,0,0,3,1
20200311,367,47,0,0,6,3
20200312,454,87,0,0,6,0
20200313,586,132,0,0,8,2
20200314,792,206,0,0,10,2
20200315,1105,313,18,18,21,11
20200316,1342,237,18,0,35,14
20200317,1474,132,18,0,55,20
20200318,1847,373,52,34,55,0
20200319,3046,1199,79,27,144,89
20200320,3727,681,79,0,177,33
20200321,4706,979,79,0,233,56
20200322,5309,603,93,14,281,48
20200323,6180,871,135,42,335,54
20200324,7520,1340,135,0,422,87
20200325,8929,1409,135,0,465,43
20200326,11059,2130,135,0,578,113
20200327,13685,2626,135,0,759,181
20200328,15935,2250,135,0,1019,260
20200329,18159,2224,135,0,1228,209
20200330,20598,2439,135,0,1408,180
20200331,23226,2628,135,0,1789,381
20200401,26987,3761,135,0,2352,563
20200402,30662,3675,135,0,2921,569
20200403,33583,2921,135,0,4450,1529
20200404,37455,3872,135,0,4313,-137
20200405,42737,5282,135,0,4934,621
20200406,46100,3363,135,0,5373,439
20200407,48948,2848,135,0,6159,786
