Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200227,1,1,0,0,0,0
20200228,1,0,0,0,0,0
20200229,2,1,0,0,0,0
20200301,3,1,0,0,0,0
20200302,3,0,0,0,0,0
20200303,3,0,0,0,0,0
20200304,3,0,0,0,0,0
20200305,3,0,0,0,0,0
20200306,9,6,0,0,0,0
20200307,9,0,0,0,0,0
20200308,12,3,0,0,0,0
20200309,13,1,0,0,0,0
20200310,15,2,0,0,0,0
20200311,23,8,0,0,0,0
20200312,23,0,0,0,0,0
20200313,25,2,0,0,0,0
20200314,25,0,0,0,0,0
20200315,30,5,0,0,0,0
20200316,33,3,0,0,0,0
20200317,33,0,0,0,0,0
20200318,34,1,0,0,0,0
20200319,40,6,0,0,0,0
20200320,42,2,1,1,0,0
20200321,46,4,1,0,0,0
20200322,51,5,3,2,0,0
20200323,58,7,3,0,0,0
20200324,61,3,9,6,0,0
20200325,63,2,10,1,0,0
20200326,67,4,10,0,0,0
20200327,68,1,13,3,0,0
20200328,71,3,14,1,0,0
20200329,72,1,18,4,0,0
20200330,80,8,18,0,0,0
20200331,90,10,18,0,0,0
20200401,93,3,22,4,0,0
20200402,104,11,26,4,0,0
20200403,122,18,26,0,0,0
20200404,129,7,28,2,0,0
20200405,133,4,36,8,1,1
20200406,150,17,36,0,2,1
20200407,154,4,39,3,2,0
