Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,1,1,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,1,0,0,0,0,0
20200320,1,0,0,0,0,0
20200321,17,16,0,0,0,0
20200322,17,0,0,0,0,0
20200323,17,0,0,0,0,0
20200324,20,3,0,0,0,0
20200325,23,3,0,0,0,0
20200326,30,7,0,0,0,0
20200327,34,4,0,0,0,0
20200328,36,2,0,0,0,0
20200329,39,3,0,0,0,0
20200330,39,0,0,0,0,0
20200331,45,6,0,0,0,0
20200401,59,14,0,0,1,1
20200402,77,18,0,0,1,0
20200403,90,13,0,0,1,0
20200404,112,22,0,0,2,1
20200405,134,22,0,0,2,0
20200406,151,17,0,0,3,1
20200407,151,0,0,0,3,0
