Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200314,1,1,0,0,0,0
20200315,2,1,0,0,0,0
20200316,2,0,0,0,0,0
20200317,6,4,0,0,0,0
20200318,6,0,0,0,0,0
20200319,11,5,0,0,0,0
20200320,16,5,0,0,0,0
20200321,20,4,0,0,1,1
20200322,20,0,0,0,1,0
20200323,25,5,0,0,2,1
20200324,51,26,0,0,2,0
20200325,65,14,0,0,3,1
20200326,129,64,0,0,3,0
20200327,131,2,2,2,4,1
20200328,134,3,2,0,5,1
20200329,145,11,2,0,5,0
20200330,145,0,2,0,5,0
20200331,153,8,3,1,5,0
20200401,187,34,3,0,5,0
20200402,196,9,3,0,5,0
20200403,197,1,3,0,5,0
20200404,197,0,3,0,5,0
20200405,206,9,3,0,5,0
20200406,206,0,3,0,5,0
20200407,279,73,3,0,5,0
