Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200314,1,1,0,0,0,0
20200315,1,0,0,0,0,0
20200316,1,0,0,0,0,0
20200317,1,0,0,0,0,0
20200318,1,0,0,0,0,0
20200319,1,0,0,0,0,0
20200320,2,1,0,0,0,0
20200321,2,0,0,0,0,0
20200322,2,0,0,0,0,0
20200323,2,0,0,0,0,0
20200324,4,2,0,0,0,0
20200325,4,0,0,0,0,0
20200326,12,8,0,0,0,0
20200327,12,0,0,0,0,0
20200328,12,0,0,0,0,0
20200329,15,3,1,1,0,0
20200330,21,6,1,0,0,0
20200331,21,0,1,0,0,0
20200401,29,8,1,0,0,0
20200402,51,22,1,0,0,0
20200403,71,20,2,1,0,0
20200404,106,35,5,3,0,0
20200405,116,10,5,0,0,0
20200406,123,7,5,0,0,0
20200407,139,16,5,0,0,0
