Date ID,Confirmed Count,Confirmed Increment,Recovered Count,Recovered Increment,Deceased Count,Deceased Increment
20200316,6,6,0,0,0,0
20200317,18,12,0,0,0,0
20200318,18,0,0,0,0,0
20200319,18,0,0,0,0,0
20200320,45,27,0,0,0,0
20200321,51,6,0,0,0,0
20200322,51,0,0,0,0,0
20200323,56,5,0,0,0,0
20200324,62,6,0,0,0,0
20200325,73,11,0,0,0,0
20200326,76,3,0,0,0,0
20200327,76,0,0,0,0,0
20200328,94,18,0,0,2,2
20200329,94,0,0,0,2,0
20200330,94,0,0,0,2,0
20200331,102,8,0,0,4,2
20200401,109,7,0,0,5,1
20200402,119,10,0,0,6,1
20200403,122,3,0,0,6,0
20200404,123,1,0,0,7,1
20200405,123,0,0,0,7,0
20200406,127,4,0,0,7,0
20200407,128,1,0,0,7,0
